SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2005-04-19,41.78,-70.46,1,Spring,Visual,RWSAS sightings,,9.009166555555556,0.7685338833333333,16.981666903999997,34.41697,213.0,1,1,1,0,1,1,2005,4,109,0.8660254037844387,-0.4999999999999998
2014-03-05,41.95,-70.18,1,Spring,Visual,RWSAS sightings,,1.97766664,0.3533426243333333,8.667522083333333,34.41697,248.0,1,1,1,0,1,1,2014,3,64,1.0,6.123233995736766e-17
2019-12-13,42.4709883,-70.2423467,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_07_northatlanticrightwhale_1d,7.87306041111111,0.0,0.3870064549999999,36.642834,248.0,1,1,1,1,1,0,2019,12,347,-2.4492935982947064e-16,1.0
2009-02-01,29.51,-81.09,1,Winter,Visual,RWSAS sightings,,17.347666533333335,0.0,2.550526459090909,34.41697,451.0,1,1,1,0,1,1,2009,2,32,0.8660254037844386,0.5000000000000001
2014-04-07,42.01,-69.97,1,Spring,Visual,RWSAS sightings,,3.9036363318181815,0.2024882181818182,2.3279655999999997,34.41697,73.66666666666667,1,1,1,0,1,1,2014,4,97,0.8660254037844387,-0.4999999999999998
2019-01-07,24.4888,-81.666316,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk02_01_northatlanticrightwhale_1d,24.797532888888888,4.71068422413793,0.3294499899999999,34.41697,441.5,1,1,1,0,1,1,2019,1,7,0.4999999999999999,0.8660254037844387
2015-05-05,42.51,-69.2,1,Spring,Visual,RWSAS sightings,,7.179999943333332,0.36897443,1.1749616366666666,34.4974885,275.3333333333333,1,1,1,1,1,0,2015,5,125,0.4999999999999999,-0.8660254037844387
2020-06-06,42.437243,-70.54595,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_09_northatlanticrightwhale_1d,14.639765166666663,0.1731042366666666,1.1721493833333336,34.41697,48.43333333333333,1,1,1,0,1,1,2020,6,158,1.2246467991473532e-16,-1.0
2008-01-22,42.08,-70.09,1,Winter,Visual,RWSAS sightings,,4.1587498875,0.0,1.3377883,34.41697,418.0,1,1,1,0,1,1,2008,1,22,0.4999999999999999,0.8660254037844387
2019-11-27,42.47096,-70.242305,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_06_northatlanticrightwhale_1d,9.801906888888889,0.0,5.4792067228571435,33.842075,242.0,1,1,1,1,1,0,2019,11,331,-0.5000000000000004,0.8660254037844384
2019-03-13,42.4708417,-70.24281,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_02_northatlanticrightwhale_1d,4.310848688888889,0.0,0.3994304283333333,37.75711,248.0,1,1,1,1,1,0,2019,3,72,1.0,6.123233995736766e-17
2019-03-20,24.43313,-81.93068,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_fk01_01_northatlanticrightwhale_1d,25.283918666666665,0.0,0.5048348,38.646424333333336,182.66666666666663,1,1,1,1,1,0,2019,3,79,1.0,6.123233995736766e-17
