SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2019-04-12,42.2554067,-70.17901,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_03_northatlanticrightwhale_1d,5.165354444444445,0.0,0.6973843599999999,34.648551499999996,248.0,1,1,1,0,1,1,2019,4,102,0.8660254037844387,-0.4999999999999998
2019-12-28,42.2553933,-70.1794483,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_07_northatlanticrightwhale_1d,7.437381355555555,0.3220061895,0.268343982,34.205936,121.16666666666669,1,1,1,1,1,0,2019,12,362,-2.4492935982947064e-16,1.0
2019-09-12,31.376133,-80.839133,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_gr02_02_northatlanticrightwhale_1d,28.48390366666667,2.9647198,1.0307328666666669,34.648551499999996,453.4,1,1,1,0,1,1,2019,9,255,-1.0,-1.8369701987210294e-16
2021-01-02,31.396417,-80.8904,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_05_northatlanticrightwhale_1d,16.560221666666667,0.0,1.059410175,34.648551499999996,72.0,1,1,1,0,1,1,2021,1,2,0.4999999999999999,0.8660254037844387
2019-07-25,42.4708617,-70.2424117,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_04_northatlanticrightwhale_1d,19.664838999999997,0.0790607347142857,0.9190475736666668,35.053580249999996,70.57575757575758,1,1,1,1,1,0,2019,7,206,-0.4999999999999998,-0.8660254037844388
2019-10-12,42.47096,-70.242305,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_06_northatlanticrightwhale_1d,13.829643888888889,0.0,1.4411758472413794,33.79586,72.0,1,1,1,1,1,0,2019,10,285,-0.8660254037844386,0.5000000000000001
2019-05-21,42.4713583,-70.2427633,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_03_northatlanticrightwhale_1d,10.809166833333332,0.211563792173913,1.2354312919230768,34.648551499999996,231.27586206896552,1,1,1,0,1,1,2019,5,141,0.4999999999999999,-0.8660254037844387
2020-02-14,42.255235,-70.1796283,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,5.405817716666667,0.5755452246666667,0.3431672442857144,34.648551499999996,379.6333333333333,1,1,1,0,1,1,2020,2,45,0.8660254037844386,0.5000000000000001
2020-11-19,42.437805,-70.546112,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_12_northatlanticrightwhale_1d,11.525149777777775,0.1317520813636363,4.055176655555556,34.648551499999996,256.1666666666667,1,1,1,0,1,1,2020,11,324,-0.5000000000000004,0.8660254037844384
2019-04-22,42.2554067,-70.17901,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_03_northatlanticrightwhale_1d,6.694068044444444,0.0,0.4438245273333333,34.648551499999996,248.0,1,1,1,0,1,1,2019,4,112,0.8660254037844387,-0.4999999999999998
2019-11-18,31.396417,-80.8904,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_03_northatlanticrightwhale_1d,18.89454166666667,0.0,1.079867151590909,34.648551499999996,45.0,1,1,1,0,1,1,2019,11,322,-0.5000000000000004,0.8660254037844384
2019-06-23,31.376133,-80.839133,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr02_02_northatlanticrightwhale_1d,28.201758444444444,0.0,0.5295228863333333,36.01326,45.0,1,1,1,1,1,0,2019,6,174,1.2246467991473532e-16,-1.0
2019-02-23,42.4708417,-70.24281,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_02_northatlanticrightwhale_1d,4.84053954,0.0818732740909091,0.995468352,34.648551499999996,248.0,1,1,1,0,1,1,2019,2,54,0.8660254037844386,0.5000000000000001
2020-03-08,42.255235,-70.1796283,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,5.2904816,0.3228382325,2.9033315466666667,34.648551499999996,295.2,1,1,1,0,1,1,2020,3,68,1.0,6.123233995736766e-17
2019-06-05,42.4708617,-70.2424117,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_04_northatlanticrightwhale_1d,11.847124,0.8126180295384615,0.6493372186363636,34.648551499999996,195.1052631578947,1,1,1,0,1,1,2019,6,156,1.2246467991473532e-16,-1.0
2020-04-30,42.254995,-70.17908,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_09_northatlanticrightwhale_1d,7.062004888888889,0.0,1.609520506666667,32.96036,248.0,1,1,1,1,1,0,2020,4,121,0.8660254037844387,-0.4999999999999998
2019-02-08,42.25539,-70.178843,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_02_northatlanticrightwhale_1d,4.821695207692309,0.0808924888,0.9953388663333336,30.186964,402.4864864864865,1,1,1,1,1,0,2019,2,39,0.8660254037844386,0.5000000000000001
2020-03-24,42.470965,-70.2426433,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_08_northatlanticrightwhale_1d,6.169772699999999,0.0,0.4192076749999999,35.11310399999999,248.0,1,1,1,1,1,0,2020,3,84,1.0,6.123233995736766e-17
2019-12-24,31.396417,-80.8904,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_03_northatlanticrightwhale_1d,15.1036275,1.518500849056604,1.8959181533333336,34.648551499999996,318.97014925373134,1,1,1,0,1,1,2019,12,358,-2.4492935982947064e-16,1.0
2019-02-22,42.25539,-70.178843,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_02_northatlanticrightwhale_1d,4.675557511111111,0.0,1.197034752,34.648551499999996,246.54285714285712,1,1,1,0,1,1,2019,2,53,0.8660254037844386,0.5000000000000001
2020-10-08,42.25508,-70.179047,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_12_northatlanticrightwhale_1d,15.749023444444443,0.0,0.3890617900000001,30.321089,38.0,1,1,1,1,1,0,2020,10,282,-0.8660254037844386,0.5000000000000001
2019-08-21,31.36749,-80.895,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr03_02_northatlanticrightwhale_1d,28.203416555555552,0.2364322203333333,1.1641571366666668,38.35745,63.86666666666667,1,1,1,1,1,0,2019,8,233,-0.8660254037844384,-0.5000000000000004
2020-10-18,31.396417,-80.8904,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_05_northatlanticrightwhale_1d,25.027134714285715,0.504327316,0.6447582,36.180342333333336,119.56,1,1,1,1,1,0,2020,10,292,-0.8660254037844386,0.5000000000000001
2019-03-09,31.396417,-80.8904,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_01_northatlanticrightwhale_1d,15.946353333333333,0.2221873136,1.9240525366666668,32.86714125,126.4,1,1,1,1,1,0,2019,3,68,1.0,6.123233995736766e-17
2020-08-05,42.470772,-70.242258,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_10_northatlanticrightwhale_1d,22.503218,0.3905599546666666,0.7878023639999999,33.063143333333336,48.6,1,1,1,1,1,0,2020,8,218,-0.8660254037844384,-0.5000000000000004
2020-04-13,31.396417,-80.8904,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_04_northatlanticrightwhale_1d,20.616658666666662,0.6438082488000001,17.863904158695654,34.4378084,93.88,1,1,1,1,1,0,2020,4,104,0.8660254037844387,-0.4999999999999998
2019-11-01,42.25553,-70.1789733,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_06_northatlanticrightwhale_1d,12.968366777777778,0.254729176,0.9298467988571428,31.935528500000004,241.23333333333332,1,1,1,1,1,0,2019,11,305,-0.5000000000000004,0.8660254037844384
