Id,Date,GROUPSIZE,Lat,Lon,CERTAINTY,CATEGORY,MOM_CALF,DUPLICATE,Presence,SST,Chlorophyll,Salinity,Bathymetry
,2002-03-07,,40.01569,-71.53359,,,,,0,14.886,,34.28145312097116,-97.0
,2002-03-07,,40.98869,-68.16623,,,,,0,11.395999999999999,,32.35579951985436,-42.0
,2002-03-07,,43.70432,-68.76301,,,,,0,9.217,,32.85351948868568,-118.0
8323.0,2002-03-15,1.0,41.84,-70.21,Definite,Dedicated Eg Aerial,No,,1,11.808,,32.429398831176755,-16.0
8322.0,2002-03-15,2.0,41.79,-70.17,Definite,Dedicated Eg Aerial,No,,1,11.719,,32.471905999755855,-11.0
,2002-03-15,,43.37738,-69.71261,,,,,0,10.818,,32.767501402063054,-150.0
,2002-03-15,,40.92537,-67.41586,,,,,0,11.658,,32.42931302957927,-76.0
,2002-03-15,,43.0036,-69.94553,,,,,0,11.235,,32.04792640627715,-215.0
,2002-03-15,,41.70707,-69.72439,,,,,0,11.195,,32.581154370964796,-80.0
,2002-03-15,,42.18842,-67.51871,,,,,0,10.33,,32.87266345818606,-203.0
,2002-03-15,,40.61754,-67.33826,,,,,0,12.915,,32.91542810499833,-99.0
,2002-03-15,,41.64427,-66.91416,,,,,0,10.429,,33.01649169661365,-61.0
,2002-03-15,,41.8948,-67.51476,,,,,0,10.955,,32.95372037560352,-42.0
8325.0,2002-03-21,1.0,38.62,-75.02,Definite,Dedicated Eg Aerial,No,,1,18.942999999999998,,31.304948804473902,-13.0
,2002-03-21,,40.90248,-73.69096,,,,,0,15.486,,,-12.0
,2002-03-21,,38.67673,-72.9164,,,,,0,18.308,,34.444014752753425,-1534.0
,2002-03-21,,37.35167,-73.22997,,,,,0,23.815,,36.20395313978437,-2804.0
,2002-03-21,,37.2798,-72.06407,,,,,0,25.986,,36.031060100090606,-3269.0
8327.0,2002-03-25,1.0,42.05,-70.04,Definite,Dedicated Eg Aerial,No,,1,11.629,,32.35875402832031,-24.0
,2002-03-25,,40.45546,-71.43956,,,,,0,15.177,,33.240643447618645,-71.0
,2002-03-25,,41.38228,-69.27845,,,,,0,10.488,,32.62234918037039,-112.0
,2002-03-25,,39.84557,-68.49351,,,,,0,15.232,,34.26707349159366,-2394.0
,2002-03-25,,40.43352,-70.88041,,,,,0,15.046,,33.31839320588549,-83.0
8329.0,2002-03-28,2.0,40.18,-73.7,Definite,US Coast Guard,No,,1,16.177999999999997,,32.83586682128906,-45.0
8328.0,2002-03-28,12.0,42.47,-70.27,Definite,Dedicated Eg Shipboard,No,,1,11.664,,31.921551098632825,-88.0
,2002-03-28,,39.64839,-71.09113,,,,,0,15.783,,35.28955917699015,-2165.0
,2002-03-28,,39.94213,-70.5347,,,,,0,15.818999999999999,,34.76115210725217,-513.0
,2002-03-28,,39.63156,-71.66048,,,,,0,15.985,,35.069591720461126,-1102.0
,2002-03-28,,40.74247,-72.68682,,,,,0,15.247,,32.91669083402096,-23.0
,2002-03-28,,41.26471,-72.19678,,,,,0,13.565999999999999,,,-29.0
,2002-03-28,,42.28257,-66.91314,,,,,0,10.078999999999999,,32.93513290067129,-283.0
,2002-03-28,,40.03081,-71.77141,,,,,0,15.024,,34.058486393601655,-91.0
,2002-03-28,,40.96347,-69.75879,,,,,0,11.369,,32.586079773051026,-34.0
8331.0,2002-03-29,2.0,42.38,-70.45,Definite,Dedicated Eg Aerial,No,,1,11.953999999999999,,31.569531814575193,-79.0
8330.0,2002-03-29,11.0,42.12,-70.1,Definite,Dedicated Eg Aerial,No,,1,11.753,,32.29108255767823,-41.0
,2002-03-29,,41.80081,-67.89726,,,,,0,11.227,,32.94732137979268,-37.0
,2002-03-29,,42.58544,-70.42458,,,,,0,11.657,,31.702986728882784,-122.0
,2002-03-29,,39.9245,-70.70396,,,,,0,15.622,,34.87946223742614,-486.0
,2002-03-29,,42.89435,-69.62987,,,,,0,11.065999999999999,,32.690899588903704,-145.0
,2002-03-29,,44.10833,-68.04117,,,,,0,8.123999999999999,,32.587471293021125,-90.0
,2002-03-29,,41.53575,-66.72945,,,,,0,10.19,,32.91594602643795,-41.0
,2002-03-29,,42.09017,-66.81728,,,,,0,10.331999999999999,,33.022705502458265,-76.0
,2002-03-29,,41.59963,-68.28491,,,,,0,11.366999999999999,,32.83954717748163,-37.0
8334.0,2002-03-31,4.0,42.17,-70.28,Definite,Dedicated Eg Aerial,No,,1,11.924999999999999,,32.1039052368164,-23.0
8333.0,2002-03-31,6.0,42.33,-69.95,Definite,Dedicated Eg Aerial,No,,1,11.49,,32.29542663574218,-210.0
8332.0,2002-03-31,2.0,42.18,-70.35,Definite,Dedicated Eg Shipboard,No,,1,12.033999999999999,,31.914253738403335,-41.0
,2002-03-31,,43.08174,-68.6929,,,,,0,10.75,,32.875017684875516,-183.0
,2002-03-31,,40.21119,-72.30764,,,,,0,15.812,,33.21296395851206,-62.0
,2002-03-31,,41.32001,-71.17284,,,,,0,14.561,,32.422136127248486,-30.0
,2002-03-31,,41.14356,-72.68727,,,,,0,15.306,,30.402954517418813,-28.0
,2002-03-31,,40.6346,-71.90247,,,,,0,14.812,,32.92672993030163,-53.0
,2002-03-31,,41.59101,-66.52472,,,,,0,10.006,,32.88102761779446,-49.0
,2002-03-31,,42.20505,-68.09148,,,,,0,10.982,,32.96446401905015,-199.0
,2002-03-31,,42.87432,-67.61983,,,,,0,10.166,,32.762420963296655,-230.0
,2002-03-31,,43.32991,-69.12832,,,,,0,10.674,,32.93144342002528,-163.0
,2002-03-31,,41.49506,-67.63305,,,,,0,11.403,,32.749843886347584,-36.0
,2002-03-31,,43.47948,-67.21718,,,,,0,9.597,,32.862135216941844,-206.0
,2002-03-31,,40.44391,-69.9734,,,,,0,12.995,,32.80983501437496,-73.0
8338.0,2002-04-02,2.0,42.09,-69.64,Definite,Dedicated Eg Aerial,No,,1,11.165,,32.27524445190429,-217.0
8337.0,2002-04-02,1.0,42.14,-70.33,Definite,Dedicated Eg Aerial,No,,1,12.045,,31.53530538635254,-55.0
8336.0,2002-04-02,1.0,42.16,-70.16,Definite,Dedicated Eg Aerial,No,,1,11.804,,31.76059170989991,-47.0
,2002-04-02,,40.92986,-68.24374,,,,,0,11.231,,32.304125082539805,-50.0
,2002-04-02,,42.10814,-67.52634,,,,,0,10.458,,32.65364371759641,-143.0
,2002-04-02,,41.84646,-69.10415,,,,,0,10.876,,32.6141071107055,-181.0
,2002-04-02,,40.36225,-70.07625,,,,,0,13.392999999999999,,32.86190593481063,-80.0
,2002-04-02,,41.87153,-69.87692,,,,,0,11.334,,32.3192448229951,-40.0
,2002-04-02,,42.41156,-70.77546,,,,,0,11.171,,,-37.0
,2002-04-02,,44.3988,-68.82683,,,,,0,9.289,,,-16.0
,2002-04-02,,41.84945,-68.78278,,,,,0,10.948,,32.83914348581121,-167.0
,2002-04-02,,43.70701,-68.96625,,,,,0,9.477,,32.323893383820156,-70.0
,2002-04-02,,40.25951,-68.1591,,,,,0,13.898,,33.10798845818166,-316.0
,2002-04-02,,40.60889,-67.65809,,,,,0,13.253,,32.774702650090674,-81.0
,2002-04-02,,41.10403,-70.00127,,,,,0,11.64,,32.58877102722749,-24.0
8346.0,2002-04-05,13.0,42.13,-69.95,Definite,Dedicated Eg Shipboard,No,,1,11.581,,31.992815673828122,-109.0
8345.0,2002-04-05,2.0,42.23,-69.1,Definite,Dedicated Eg Aerial,No,,1,11.203999999999999,,32.588267852783204,-175.0
8344.0,2002-04-05,1.0,42.35,-69.98,Definite,Dedicated Eg Aerial,No,,1,11.488,,31.768646736145012,-186.0
8343.0,2002-04-05,1.0,42.22,-70.0,Definite,Dedicated Eg Aerial,No,,1,11.629,,31.85075305938721,-117.0
8342.0,2002-04-05,1.0,42.13,-69.97,Definite,Dedicated Eg Aerial,No,,1,11.603,,31.97392463378906,-105.0
8341.0,2002-04-05,8.0,42.08,-69.92,Definite,Dedicated Eg Aerial,No,,1,11.520999999999999,,32.07195804290771,-91.0
,2002-04-05,,43.38005,-66.76887,,,,,0,9.003,,32.470731300854624,-143.0
,2002-04-05,,41.29031,-71.63712,,,,,0,13.682,,,-36.0
,2002-04-05,,41.31917,-68.53664,,,,,0,10.982,,32.56635544524489,-63.0
,2002-04-05,,39.82782,-70.37366,,,,,0,15.983,,35.0327023354486,-1206.0
,2002-04-05,,40.72254,-68.56491,,,,,0,11.123,,32.31135262225529,-55.0
,2002-04-05,,43.58344,-66.21886,,,,,0,8.623000000000001,,32.061550597910326,-52.0
,2002-04-05,,41.21866,-68.57736,,,,,0,10.937,,32.524695638763276,-60.0
,2002-04-05,,44.35708,-68.01349,,,,,0,8.245000000000001,,,-28.0
,2002-04-05,,40.41801,-68.156,,,,,0,12.863,,32.85438851935393,-281.0
,2002-04-05,,43.5466,-69.93457,,,,,0,10.215,,30.948400097916938,-100.0
,2002-04-05,,41.19139,-67.64166,,,,,0,11.187,,32.53873993139478,-50.0
,2002-04-05,,41.14479,-71.84053,,,,,0,13.997,,32.24442729272555,-29.0
,2002-04-05,,41.59088,-70.80542,,,,,0,13.302999999999999,,32.56275373888472,-10.0
,2002-04-05,,42.22033,-66.74056,,,,,0,9.981,,32.521891230954914,-220.0
,2002-04-05,,42.03215,-69.58619,,,,,0,11.14,,32.34205134102053,-213.0
,2002-04-05,,40.68054,-69.0363,,,,,0,10.913,,32.51809663189749,-69.0
,2002-04-05,,40.78489,-71.43871,,,,,0,14.346,,32.48143815042989,-62.0
,2002-04-05,,41.43987,-67.61368,,,,,0,11.487,,32.68431053977344,-34.0
,2002-04-05,,40.9599,-68.98662,,,,,0,10.387,,32.57016547734903,-81.0
,2002-04-05,,41.85098,-70.18798,,,,,0,11.777,,32.0866964573843,-15.0
,2002-04-05,,41.06379,-67.06856,,,,,0,11.515,,32.73594269398442,-66.0
,2002-04-05,,43.69585,-67.33294,,,,,0,9.714,,32.406509946301334,-203.0
,2002-04-05,,42.88716,-68.14199,,,,,0,10.233,,32.54054000935634,-173.0
,2002-04-05,,41.34035,-66.89948,,,,,0,10.846,,32.80231859170532,-67.0
8347.0,2002-04-07,1.0,41.23,-70.12,Definite,Opportunistic,No,,1,11.826,,32.54596851501465,-7.0
,2002-04-07,,42.01617,-67.46326,,,,,0,10.654,,32.71825964393145,-41.0
,2002-04-07,,43.73498,-69.22442,,,,,0,9.728,,32.16292819443786,-97.0
,2002-04-07,,43.0963,-70.41497,,,,,0,11.004999999999999,,30.096882640367845,-79.0
,2002-04-07,,41.70074,-67.59522,,,,,0,11.245,,32.850537751617985,-32.0
8351.0,2002-04-11,1.0,42.17,-69.88,Definite,Dedicated Eg Aerial,No,,1,11.513,,32.01904179077148,-176.0
8350.0,2002-04-11,7.0,42.15,-69.92,Definite,Dedicated Eg Aerial,No,,1,11.544,,32.00082991027831,-135.0
8349.0,2002-04-11,1.0,42.17,-69.89,Definite,Dedicated Eg Aerial,No,,1,11.517999999999999,,32.009408239746094,-176.0
,2002-04-11,,40.36822,-70.99302,,,,,0,15.004999999999999,,33.44694996858016,-90.0
,2002-04-11,,42.94009,-70.61323,,,,,0,10.511,,30.48411448304679,-49.0
,2002-04-11,,40.83261,-67.74426,,,,,0,11.766,,32.47667344591263,-64.0
,2002-04-11,,40.44755,-71.35693,,,,,0,15.302999999999999,,33.16306037017211,-72.0
,2002-04-11,,40.82749,-72.26424,,,,,0,15.228,,31.922913691224892,-32.0
,2002-04-11,,43.3375,-66.67948,,,,,0,8.761,,32.45664915288544,-111.0
,2002-04-11,,41.05208,-68.55323,,,,,0,11.157,,32.42967037406057,-44.0
,2002-04-11,,42.66333,-70.06273,,,,,0,11.514,,31.34774150414269,-108.0
